Game Name,Price,Discount,Reviews,Tags,Release Date,Publisher
Counter-Strike 2,Free To Play,0%,Very Positive,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Trading, Difficult, Realistic, Fast-Paced, Moddable","Aug 21, 2012",Valve
Palworld,$53.98,0%,Very Positive,"Open World, Survival, Creature Collector, Multiplayer, Open World Survival Craft, Crafting, Online Co-Op, Indie, Co-op, Adventure, Base Building, Sandbox, Building, Automation, Third-Person Shooter, RPG, Action, Anime, Exploration, Singleplayer","Jul 9, 2026",Pocketpair
Marvel Rivals,Free To Play,0%,Mixed,"Free to Play, Multiplayer, Hero Shooter, Third-Person Shooter, Superhero, PvP, Action, Team-Based, Sexual Content, Competitive, Shooter, 3D, Online Co-Op, Third Person, Strategy, Co-op, Sci-fi, Hentai, FPS, Nudity","Dec 5, 2024",NetEase Games
Warframe,Free To Play,0%,Very Positive,"Free to Play, Looter Shooter, Action RPG, Third-Person Shooter, Action, RPG, Third Person, Massively Multiplayer, Online Co-Op, Character Customization, Co-op, PvE, Sci-fi, Singleplayer, Space, Lore-Rich, Shooter, Hack and Slash, Parkour, Ninja","Mar 25, 2013",Digital Extremes
Assassin's Creed Black Flag Resynced,$59.99,0%,Very Positive,"Action-Adventure, Assassins, Pirates, Open World, Naval Combat, Stealth, Exploration, Third Person, Adventure, Historical, Action, Parkour, Singleplayer, Naval, Cinematic, Combat, Sailing, Underwater, 3D, Vehicular Combat","Jul 9, 2026",Ubisoft
MECCHA CHAMELEON,$5.09,-15%,Very Positive,"Multiplayer, Casual, Party Game, Funny, Hidden Object, Online Co-Op, Hand-drawn, Comedy, Stealth, Colorful, Indie, Co-op, Real Time Tactics, Cute, Controller, Team-Based, Investigation, Realistic, Mystery, Retro","Jun 9, 2026",lemorion_1224
Halo: Campaign Evolved,$49.99,0%,Mixed,"Action, FPS, Co-op, Singleplayer, Shooter, Sci-fi, Adventure, First-Person, Space, Aliens, Story Rich, Lore-Rich, Violent, Atmospheric, Remake, Cinematic, Multiplayer, Great Soundtrack, LGBTQ+, Horror","Jul 28, 2026",Xbox Game Studios
Apex Legends™,Free To Play,0%,Mixed,"Free to Play, Multiplayer, Battle Royale, FPS, Shooter, First-Person, PvP, Action, Hero Shooter, Team-Based, Tactical, Sci-fi, Loot, Co-op, Survival, Character Customization, Funny, Cyberpunk, Lore-Rich, Cinematic","Nov 4, 2020",Electronic Arts
Dead by Daylight,$22.48,0%,Mostly Positive,"Horror, Multiplayer, Survival Horror, Gore, Online Co-Op, Co-op, Survival, Team-Based, Third Person, Violent, Stealth, First-Person, Psychological Horror, Action, Atmospheric, Strategy, Comedy, Difficult, Sexual Content, LGBTQ+","Jun 14, 2016",Behaviour Interactive Inc.
Battlefield™ 6,$34.99,-50%,Mixed,"Multiplayer, FPS, Military, Singleplayer, Action, Shooter, War, Modern, Combat, Realistic, Battle Royale, Tactical, Epic, Destruction, PvP, Violent, Artificial Intelligence, Co-op, Atmospheric, Sandbox","Oct 10, 2025",Electronic Arts
Where Winds Meet,Free To Play,0%,Very Positive,"Open World, Free to Play, Multiplayer, Souls-like, Action RPG, Singleplayer, Character Customization, Action-Adventure, Adventure, Martial Arts, Fantasy, Atmospheric, Story Rich, MMORPG, Online Co-Op, Wuxia, Co-op, Action, Third Person, Spectacle fighter","Nov 14, 2025",NetEase Games
Forza Horizon 6,$69.99,0%,Mostly Positive,"Racing, Open World, Driving, Multiplayer, Automobile Sim, Simulation, Exploration, Arcade, Realistic, Sports, Atmospheric, Singleplayer, First-Person, Online Co-Op, Co-op, VR, PvP, Funny, Sandbox, LGBTQ+","May 18, 2026",Xbox Game Studios
Grand Theft Auto V Enhanced,$14.99,-50%,Very Positive,"Open World, Sexual Content, Action, Multiplayer, Crime, Shooter, Third Person, Adventure, First-Person, Automobile Sim, Racing, Sandbox, Third-Person Shooter, Funny, Moddable, Atmospheric, PvP, Co-op, Comedy, Nudity","Mar 4, 2025",Rockstar Games
The Mound: Omen of Cthulhu,$23.99,-20%,Mostly Positive,"Co-op, Lovecraftian, Psychological Horror, Roguelite, Action, Adventure, First-Person, Horror, Exploration, Violent, Dark, Roguelike, Gore, Multiplayer, Extraction Shooter, Online Co-Op, Pirates, Survival, Survival Horror, Open World","Jul 15, 2026",Nacon
